,Shift,Metabolite,Peak name,Metabolite_Reannotated,Metabolite_name_R,Lower,Upper,W632_d0_TS,W632_d24_TS,W632_RB_TS,W636_d0_TR,W636_d24_TR,W636_RB_TR,W641_d0_TR,W641_d24_TR,W641_RB_TR,W642_d0_TR,W642_d24_TR,W642_RB_TR,W643_d0_TR,W643_d24_TR,W643_RB_TR,W646_d0_TS,W646_d24_TS,W646_RB_TS,W649_d0_TR,W649_d24_TR,W649_RB_TR,W652_d0_TS,W652_d24_TS,W652_RB_TS,W656_d0_TR,W656_d24_TR,W656_RB_TR,W661_d0_TR,W661_d24_TR,W661_RB_TR,W665_d0_TR,W665_d24_TR,W665_RB_TR,W666_d0_TS,W666_d24_TS,W666_RB_TS,W667_d0_TS,W667_d24_TS,W667_RB_TS,W668_d0_TS,W668_d24_TS,W668_RB_TS,W672_d0_TS,W672_d24_TS,W672_RB_TS,W675_d0_TS,W675_d24_TS,W675_RB_TS,W679_d0_TR,W679_d24_TR,W679_RB_TR
162,7.385,Phenylalanine,Phenylalanine,Phenylalanine,,7.345,7.445,7.63E-05,0.00010392,8.90E-05,0.00013849,0.00012621,0.00010467,0.00012675,0.00011693,9.32E-05,9.39E-05,0.00010332,0.00010059,7.74E-05,0.00010339,8.34E-05,0.00011021,0.00013521,0.00012953,0.00010741,0.00013188,9.70E-05,7.44E-05,0.00012816,7.63E-05,0.00013234,0.00012081,0.0001129,0.00011011,0.00010203,8.00E-05,0.00010367,9.86E-05,8.72E-05,0.00011383,9.02E-05,8.82E-05,0.00011234,0.00011591,0.00010979,8.80E-05,0.00010394,0.00010457,0.00012276,0.00013802,0.00012774,8.81E-05,9.30E-05,0.00010832,6.73E-05,0.00010458,8.14E-05
163,7.375,Phenylalanine,Phenylalanine,Phenylalanine,,7.345,7.445,7.01E-05,7.33E-05,8.20E-05,8.48E-05,8.56E-05,6.88E-05,6.21E-05,8.18E-05,6.97E-05,0.00010591,7.43E-05,7.52E-05,6.84E-05,4.57E-05,5.86E-05,8.69E-05,0.00010341,7.20E-05,7.50E-05,9.13E-05,6.70E-05,5.11E-05,8.69E-05,6.56E-05,8.82E-05,7.93E-05,7.20E-05,7.10E-05,6.55E-05,6.39E-05,6.93E-05,6.73E-05,6.49E-05,7.01E-05,7.07E-05,6.50E-05,8.20E-05,9.29E-05,8.23E-05,4.99E-05,9.35E-05,8.46E-05,9.60E-05,0.00010303,8.49E-05,6.53E-05,8.14E-05,7.56E-05,5.27E-05,7.66E-05,6.55E-05
164,7.365,Phenylalanine,Phenylalanine,Phenylalanine,,7.345,7.445,7.63E-05,7.58E-05,0.00010658,9.45E-05,0.00011802,0.00010515,8.13E-05,0.00013797,9.80E-05,7.61E-05,9.02E-05,9.84E-05,6.35E-05,8.55E-05,8.18E-05,0.00010217,0.00011576,0.00010299,8.24E-05,0.00011305,9.13E-05,7.85E-05,0.00014136,9.97E-05,9.08E-05,0.00010707,9.88E-05,9.24E-05,0.00010876,8.92E-05,7.33E-05,0.00011111,0.00010935,0.00010136,0.00011507,0.0001002,7.83E-05,0.00012752,0.00011388,8.35E-05,0.00013889,0.00012149,9.17E-05,0.0001305,0.00010162,6.94E-05,0.00011196,0.0001015,7.20E-05,0.00010823,9.08E-05
166,7.345,Phenylalanine,Phenylalanine,Phenylalanine,,7.345,7.445,0.00033155,0.00034867,0.00037352,0.00040124,0.00040892,0.00036994,0.00036547,0.0003977,0.00029616,0.00036843,0.00033775,0.00031357,0.00029075,0.00033744,0.00030677,0.00038531,0.00040856,0.00039154,0.00037647,0.00040346,0.00035997,0.00028271,0.00038735,0.00031956,0.00040647,0.00043076,0.00036734,0.00036891,0.00034415,0.0002861,0.00034073,0.00035929,0.00032852,0.00035099,0.0003623,0.00033257,0.0003634,0.00042329,0.00039073,0.00032161,0.00041673,0.00037076,0.00039471,0.00048158,0.00038583,0.00029599,0.00038822,0.00035767,0.0002727,0.00036694,0.0003452
167,7.335,Phenylalanine tryptophane,Phenylalanine+tryptophane,Phenylalanine tryptophane,,7.325,7.335,0.00039849,0.00035798,0.0003678,0.00049176,0.00043482,0.00037546,0.00044197,0.00040832,0.0003193,0.0004213,0.00034703,0.00030851,0.00036136,0.00037313,0.00031698,0.00046484,0.00042656,0.0003805,0.00042304,0.00042664,0.000368,0.00035589,0.00040753,0.00031579,0.00048082,0.0004454,0.00037456,0.00045223,0.00036291,0.00028945,0.00042576,0.00039711,0.00034243,0.00040323,0.00039668,0.00034525,0.00045514,0.00042338,0.00038226,0.00037982,0.00041052,0.00035227,0.00044336,0.00046141,0.0003813,0.00036156,0.00040797,0.00035274,0.0003531,0.00041233,0.00035918
168,7.325,Phenylalanine tryptophane,Phenylalanine+tryptophane,Phenylalanine tryptophane,,7.325,7.335,0.00030338,0.0002606,0.00029404,0.00034245,0.00028092,0.00023778,0.00031527,0.00029777,0.00021036,0.00032451,0.00024705,0.00019482,0.00029127,0.0002577,0.00021089,0.00034,0.00029229,0.00023256,0.00031981,0.00029182,0.00025245,0.00025215,0.0002815,0.00021144,0.00037419,0.00030642,0.00023931,0.00034851,0.00025733,0.00019764,0.00030357,0.00027447,0.00024227,0.00028575,0.00026336,0.00022702,0.00034303,0.00029915,0.00025816,0.00027238,0.00029002,0.00024579,0.00034828,0.00030948,0.00023059,0.00029963,0.00032099,0.00025663,0.00026152,0.00029679,0.00023627
171,7.295,Tryptophane,Tryptophane,Tryptophane,,7.215,7.295,0.00022632,0.00023015,0.00024185,0.0002526,0.00025651,0.00021857,0.00024736,0.00026848,0.00021784,0.00025496,0.00021404,0.00018104,0.00026899,0.00023939,0.00020938,0.00025868,0.00022947,0.00019648,0.00026715,0.00026135,0.00025238,0.00023931,0.00026686,0.00020828,0.00024557,0.00022421,0.00017643,0.00024064,0.00021618,0.00013863,0.00023246,0.00025411,0.00024707,0.00025832,0.00025764,0.00021415,0.00026643,0.00025159,0.00022465,0.0002474,0.00027652,0.00022136,0.00027108,0.00026896,0.00020231,0.0002389,0.00029116,0.0002227,0.00023707,0.00029493,0.00023406
172,7.285,Tryptophane,Tryptophane,Tryptophane,,7.215,7.295,0.00019525,0.00017602,0.00020554,0.00025052,0.00023259,0.00019436,0.00022601,0.00022694,0.000196,0.00022356,0.00018929,0.00016114,0.00022712,0.0002115,0.00018502,0.000222,0.00021739,0.00016247,0.00025783,0.00022545,0.00021696,0.0002229,0.00022722,0.00018175,0.00023062,0.00020511,0.00018131,0.00022674,0.00019648,0.00013761,0.0002046,0.00024189,0.00020124,0.00023912,0.00022814,0.00019,0.00024249,0.0002096,0.00019325,0.00021591,0.00022641,0.00019748,0.00023809,0.00024258,0.00018456,0.00022318,0.00023362,0.0001719,0.0002209,0.00024664,0.00021314
173,7.275,Tryptophane,Tryptophane,Tryptophane,,7.215,7.295,0.00018809,0.00018387,0.00018087,0.00020444,0.00021074,0.00017084,0.0001959,0.0002158,0.00016346,0.00019966,0.0001704,0.00014748,0.00020093,0.00018007,0.00015676,0.0001986,0.00019324,0.00015128,0.00022588,0.0001985,0.00020109,0.00019336,0.00020181,0.00015504,0.00020425,0.00018924,0.00015128,0.00019206,0.0001601,0.000119,0.00019138,0.00020391,0.00017975,0.00019575,0.00019906,0.00017996,0.00019519,0.00018941,0.00017953,0.00016558,0.0002286,0.00018212,0.00020986,0.00019967,0.00015244,0.00018702,0.00021676,0.00017405,0.00018899,0.00021531,0.00017717
179,7.215,Tryptophane,Tryptophane,Tryptophane,,7.215,7.295,0.00034136,0.00033747,0.00036862,0.00040405,0.00039071,0.000328,0.000386,0.00043823,0.00031451,0.00037506,0.00031588,0.0002848,0.00039926,0.00037026,0.00035882,0.00036628,0.00035307,0.00030188,0.00041213,0.00042266,0.00043563,0.00037306,0.00044075,0.00034445,0.00040233,0.00038007,0.00030717,0.00037427,0.00029943,0.0002078,0.00037866,0.00043323,0.00035671,0.00042622,0.00041578,0.0003377,0.0004046,0.00040777,0.00034534,0.00036054,0.00044033,0.00035957,0.00042939,0.0004194,0.00031176,0.00039134,0.00042535,0.00031573,0.0003667,0.00041891,0.00035593
180,7.205,Tyrosine tryptophane,Tyrosine+tryptophane,Tyrosine tryptophane,,7.195,7.205,0.0005648,0.00054314,0.00052517,0.00069191,0.00055611,0.00040694,0.00063637,0.00056805,0.00042179,0.00053665,0.00050011,0.00035492,0.00057937,0.00056948,0.0004885,0.00063904,0.00055316,0.00042504,0.00069471,0.00063934,0.00059075,0.00056743,0.0006237,0.00046061,0.00066919,0.00063466,0.00046875,0.00062105,0.00044545,0.00033404,0.00065962,0.00059895,0.00044894,0.00061119,0.00065239,0.00048019,0.00067314,0.00057771,0.00048501,0.00055157,0.00064202,0.00043466,0.00065313,0.00060706,0.0004486,0.00054969,0.00059239,0.00043253,0.00051699,0.00054742,0.00047999
181,7.195,Tyrosine tryptophane,Tyrosine+tryptophane,Tyrosine tryptophane,,7.195,7.205,0.00050221,0.00047772,0.00045073,0.00062191,0.00049922,0.0003642,0.00057793,0.00046963,0.00034787,0.0004793,0.00043265,0.00032135,0.00048683,0.00051419,0.00043813,0.00058278,0.00051735,0.00040145,0.00063424,0.00059301,0.00051047,0.00049701,0.00055576,0.00041083,0.00060363,0.00060892,0.00042888,0.00055301,0.00040643,0.00030882,0.00062467,0.00051679,0.00038317,0.00053744,0.00060011,0.00042286,0.00062939,0.00050423,0.00042655,0.00048215,0.00056262,0.00037736,0.00059153,0.00057346,0.00040707,0.00047867,0.00053226,0.00038011,0.00043592,0.00048729,0.00041351
186,7.145,Histidine,Histidine,Histidine,,7.135,7.145,0.00013772,0.00012205,0.00012875,0.00019094,0.00016281,0.00013538,0.0002415,0.00017535,0.00012483,0.00015567,0.00014906,0.00012578,0.00013876,0.00014642,0.00011282,0.00015912,0.00013561,0.00012841,0.00015088,0.00017863,0.00012921,0.00012123,0.00015252,0.00013162,0.00016426,0.00015063,0.00013219,0.00014424,0.00015605,9.09E-05,0.00024936,0.00013614,0.00012269,0.000217,0.00017302,0.00012668,0.00012562,0.00015649,0.00012036,0.0001278,0.00015064,0.00013463,0.00014826,0.00017006,0.00011549,0.00014132,0.00014402,0.00011884,0.00014265,0.00016218,0.00011734
187,7.135,Histidine,Histidine,Histidine,,7.135,7.145,0.00053381,0.00039845,0.00031256,0.0005122,0.00044412,0.00030055,0.00043834,0.00042266,0.00029854,0.00056298,0.00042442,0.00028949,0.00041895,0.00038127,0.00026987,0.00053333,0.00043759,0.00030796,0.00049888,0.00038373,0.00026192,0.00036325,0.00038196,0.00030437,0.00053092,0.00041443,0.00030576,0.00047037,0.00037415,0.00026339,0.00047353,0.00042058,0.00029752,0.00049758,0.00046066,0.0003052,0.00045291,0.00046121,0.00032894,0.00054047,0.00046457,0.00035945,0.00036726,0.00042383,0.000296,0.00047581,0.00044139,0.00031293,0.00051919,0.00046515,0.00037265
